Населенный пункт,Лицевой счет,ФИО,Тип учета,Тип здания,Улица,Дом,Состояние подключения,Объект АСКУГ,Оснащенность СТМ,Дата последней проверки,Модель счетчика газа,Заводской номер,Очередная поверка счетчика,Предыдущие учтёные показания,Текущие (последние) учтёные показания,"Площадь жилая, м2",Количество проживающих,Газовый котел,Газовая колонка,Газовая плита
поселок И,1,Фамилия Имя Отчество,Счетчик,частный,пер Дружбы,д.21,Подключен,нет,нет,2019-04-29,СГД-3Т G6  Минский механический завод С.И.Вавилова,1001,2027-03-20,13 315,13 315,102,1,АОГВ;,ВПГ автоматический;,Брест-04;
поселок И,2,Фамилия Имя Отчество,Счетчик,частный,пер Дружбы,д.23,Подключен,нет,нет,2012-03-26,"BK-G6T Elster, Германия",1002,2023-03-31,39 400,39 400,"155,1",4,"АОГВ 23,2-1(3)  Жуковский;",ВПГ 23;,Гефест4;
поселок И,3,Фамилия Имя Отчество,Счетчик,частный,пер Дружбы,д.6,Подключен,нет,нет,2011-10-15,"СГМН-1 G6 г. Минск, МПИ 8лет",1003,2028-10-21,6 600,6 600,"63,3",4,КЧМ ГПТ-2М;,Отсутствует,ПГ4 Nord;
поселок И,4,Фамилия Имя Отчество,Счетчик,частный,пер Зеленый,д.6А,Подключен,нет,нет,2021-01-14,"ВК-G4T  Elster, Германия",1004,2030-06-16,18 150,18 150,"92,6",1,Navien Ace 13 AN;,Отсутствует,ПГ4;
поселок И,5,Фамилия Имя Отчество,Счетчик,частный,пер Котовского,д.18,Подключен,нет,нет,2019-10-21,"СГМН-1 G6 г. Минск, МПИ 8лет",1005,2027-10-16,8 904,9 258,"52,4",6,Конорд КСцГ-16;,ВПГ автоматический;,Greta4;
поселок И,6,Фамилия Имя Отчество,Счетчик,частный,пер Котовского,д.6А,Подключен,нет,нет,2020-12-08,"ВК-G4T  Elster, Германия",1006,2026-01-01,6 815,6 815,"139,1",1,Navien Deluxe 24K;,Отсутствует,панель варочная;
поселок И,7,Фамилия Имя Отчество,Счетчик,частный,пер Кочубея,д.28,Подключен,нет,нет,2013-05-14,"ВК-G4T  Elster, Германия",1007,2026-03-17,50 129,50 129,"75,4",6,"КСГ-12,5  ""ЛЕМАКС"" Арбат;",Отсутствует,Брест-04; ПГ4;
поселок И,8,Фамилия Имя Отчество,Счетчик,частный,пер Лесной,д.16,Подключен,нет,нет,2020-02-27,MKM G6  Premagas s.r.o. Словакия,1008,2030-02-19,11 899,11 899,"49,4",3,"АОГВ-11,6-3 Ростов;",Отсутствует,ПГ4 Волгоград;
поселок И,9,Фамилия Имя Отчество,Счетчик,частный,пер Молодежный,д.3,Подключен,нет,нет,2023-02-21,"СГМН-1 G6 г. Минск, МПИ 8лет",1009,2031-02-21,22 195,22 195,"48,7",1,"АОГВ-11,6-1 Ростов;",Отсутствует,ПВ4 Gefest;
поселок И,10,Фамилия Имя Отчество,Счетчик,частный,пер Чистый,д.1,Подключен,нет,нет,2017-01-25,"ВК-G4T  Elster, Германия",1010,2026-04-19,8 079,8 079,"76,3",1,Navien Ace 13A;,ВПГ автоматический;,ПГ4;
